################################################################## 

SERIE MENSILI: 

################################################################## 



 Diagnostica modelli originali: 
        TITLE       BIC QR.prob QR2.prob QSR.prob N.prob N.test    TVA    TVC
34    DIVIZ13 -5.99214   0.009    0.829    0.886  0.182   3.41  0.529  1.770
35    DIVID13 -6.22844   0.001    0.281    0.472  0.249   2.78  0.514  1.590
36    DIVIE13 -6.18878   0.010    0.313    0.634  0.953  0.096 -0.150  0.273
38    DIVID14 -5.08401   0.000    0.928    0.959  0.278   2.56  1.480  0.606
39    DIVIE14 -4.92318   0.000    0.711    1.000  0.842  0.344  0.459  0.365
40    DIVIZ15 -5.07051   0.000    0.349    1.000  0.917  0.174 -0.280  0.313
41    DIVID15 -5.02330   0.008    0.860    0.999  0.902  0.207  0.003  0.455
42    DIVIE15 -5.59194   0.007    0.984    0.901  0.925  0.155 -0.350 -0.170
44    DIVID16 -6.05302   0.001    0.407    0.592  0.000   16.4  0.490  4.020
45    DIVIE16 -5.51878   0.037    0.222    0.980  0.903  0.204 -0.450 -0.030
47    DIVID17 -6.86723   0.000    0.139    0.838  0.061   5.61 -0.860  2.210
48    DIVIE17 -6.60751   0.000    0.000    0.285  0.284   2.52 -0.700 -1.430
54    DIVID20 -6.61347   0.000    0.334    0.028  0.121   4.22  0.056  2.050
60    DIVID22 -6.66325   0.001    0.114    0.328  0.210   3.12  1.620  0.708
61    DIVIE22 -6.70166   0.004    0.213    0.845  0.522   1.30 -1.060  0.408
62    DIVIZ23 -6.10461   0.000    0.199    0.366  0.000   20.8 -2.260  3.960
65    DIVIZ24 -5.36735   0.021    0.447    0.680  0.012   8.87 -0.750  2.880
66    DIVID24 -5.62881   0.000    0.036    0.729  0.106   4.48  0.366  2.090
72    DIVID26 -4.95938   0.015    0.018    1.000  0.338   2.17 -1.440 -0.300
84    DIVIZ31 -5.54214   0.046    0.633    0.315  0.194   3.28  1.180  1.370
87    DIVIZ32 -5.31531   0.033    0.421    0.434  0.209   3.13 -0.500  1.700
89    DIVIE32 -5.47918   0.000    0.539    0.001  0.001   13.4  1.800  3.190
99   DUREVEST -6.03335   0.001    0.012    0.199  0.001   13.7  1.040  3.560
103   MIGSZ_4 -6.70761   0.011    0.395    0.977  0.401   1.83  1.340  0.214
104  INTERNAZ -6.69109   0.000    0.000    0.310  0.632  0.919 -0.790  0.544
105  INTEREST -6.77453   0.000    0.001    0.691  0.187   3.35 -0.850  1.620

 Statistica di JB significativa: 
        TITLE      BIC QR.prob QR2.prob QSR.prob N.prob N.test    TVA  TVC
15  FATEXP_25 -7.08004   0.332    0.000    1.000  0.001   15.1 -0.580 3.84
21  FATEXP_32 -7.24151   0.021    0.987    0.177  0.001   13.7 -2.500 2.72
25    DIVIZ08 -3.51249   0.084    0.001    0.219  0.000   25.8  3.820 3.35
29    DIVID10 -7.00627   0.078    0.843    1.000  0.000   17.3  2.660 3.20
31    DIVIZ11 -5.06116   0.686    0.894    1.000  0.003   11.4 -1.070 3.20
32    DIVID11 -5.81052   0.214    0.509    0.812  0.021   7.69  1.750 2.16
43    DIVIZ16 -5.15786   0.898    0.652    1.000  0.003   11.4 -1.160 3.17
44    DIVID16 -6.05302   0.001    0.407    0.592  0.000   16.4  0.490 4.02
51    DIVIE18 -5.38876   0.625    0.726    1.000  0.000   23.1  1.880 4.42
52    DIVID19 -5.57488   0.581    0.366    1.000  0.000   38.1 -2.830 5.48
62    DIVIZ23 -6.10461   0.000    0.199    0.366  0.000   20.8 -2.260 3.96
63    DIVID23 -6.27903   0.384    0.172    0.600  0.021   7.76 -0.500 2.74
65    DIVIZ24 -5.36735   0.021    0.447    0.680  0.012   8.87 -0.750 2.88
67    DIVIE24 -5.49350   0.630    0.245    1.000  0.004   11.1 -0.180 3.32
68    DIVIZ25 -5.84754   0.347    0.083    0.693  0.004   11.0 -0.590 3.26
71    DIVIZ26 -4.64171   0.143    0.001    0.742  0.001   14.1 -2.380 2.90
73    DIVIE26 -4.88116   0.644    0.126    1.000  0.001   14.1 -1.210 3.56
74    DIVIZ27 -5.95292   0.319    0.873    0.760  0.033   6.81  1.470 2.16
75    DIVID27 -5.69951   0.317    0.542    0.966  0.028   7.14  1.870 1.91
78    DIVID28 -5.58163   0.702    0.288    0.180  0.015   8.35  2.210 1.86
79    DIVIE28 -6.03846   0.140    0.021    0.258  0.003   11.9 -1.390 3.15
80    DIVIZ29 -5.19432   0.599    0.151    0.998  0.000   26.4  2.840 4.29
82    DIVIE29 -5.29020   0.496    0.040    0.808  0.000   69.7  4.140 7.25
85    DIVID31 -5.96805   0.551    0.270    0.995  0.000   36.5  3.190 5.13
89    DIVIE32 -5.47918   0.000    0.539    0.001  0.001   13.4  1.800 3.19
90    DIVIZ33 -2.61136   0.257    0.058    0.432  0.027   7.21 -2.080 1.70
95   ENERGNAZ -5.64304   0.433    0.877    1.000  0.000   18.5 -2.570 3.46
99   DUREVEST -6.03335   0.001    0.012    0.199  0.001   13.7  1.040 3.56
100   MIGSZ_3 -5.99914   0.297    0.538    1.000  0.003   11.6 -1.200 3.19
101  INVESNAZ -5.46535   0.185    0.520    0.650  0.029   7.09  0.834 2.53
102  INVESEST -5.56366   0.069    0.000    0.864  0.000   15.3 -0.040 3.91

 Statistica di autocorrelazione stagionale significativa: 
     TITLE      BIC QR.prob QR2.prob QSR.prob N.prob N.test   TVA  TVC
54 DIVID20 -6.61347       0    0.334    0.028  0.121   4.22 0.056 2.05
89 DIVIE32 -5.47918       0    0.539    0.001  0.001   13.4 1.800 3.19

 Statistica di LB sui quadrati dei residui significativa: 
        TITLE       BIC QR.prob QR2.prob QSR.prob N.prob N.test    TVA    TVC
2   FATEXP_11 -5.624680   0.839    0.000    1.000  0.136   3.99 -1.870 -0.710
3   FATEXP_13 -7.650180   0.830    0.021    0.834  0.507   1.36 -0.760  0.882
9   FATEXP_19  1.735140   0.837    0.007    1.000  0.622  0.951  0.841 -0.490
10  FATEXP_20  0.406686   0.400    0.012    0.221  0.958  0.086 -0.280 -0.090
11  FATEXP_21 -5.930810   0.758    0.000    1.000  0.919  0.170 -0.400 -0.080
15  FATEXP_25 -7.080040   0.332    0.000    1.000  0.001   15.1 -0.580  3.840
20  FATEXP_31 -7.340570   0.408    0.038    0.763  0.250   2.77  0.661  1.530
22  FATEXP_33 -3.683950   0.242    0.000    0.563  0.089   4.83 -0.580  2.120
25    DIVIZ08 -3.512490   0.084    0.001    0.219  0.000   25.8  3.820  3.350
26    DIVID08 -5.355090   0.460    0.028    0.355  0.421   1.73 -1.260 -0.390
28    DIVIZ10 -6.407250   0.078    0.003    0.765  0.742  0.598 -0.360  0.684
37    DIVIZ14 -4.603470   0.086    0.015    0.989  0.370   1.99  1.250  0.659
46    DIVIZ17 -6.439450   0.174    0.003    0.361  0.381   1.93  0.340  1.350
48    DIVIE17 -6.607510   0.000    0.000    0.285  0.284   2.52 -0.700 -1.430
50    DIVID18 -5.732040   0.462    0.018    0.812  0.613  0.980  0.121  0.982
58    DIVIE21 -5.427040   0.759    0.014    0.878  0.557   1.17 -0.740 -0.790
64    DIVIE23 -6.353690   0.166    0.039    0.273  0.918  0.171  0.183  0.370
66    DIVID24 -5.628810   0.000    0.036    0.729  0.106   4.48  0.366  2.090
70    DIVIE25 -6.043600   0.066    0.003    0.813  0.288   2.49  0.032  1.580
71    DIVIZ26 -4.641710   0.143    0.001    0.742  0.001   14.1 -2.380  2.900
72    DIVID26 -4.959380   0.015    0.018    1.000  0.338   2.17 -1.440 -0.300
79    DIVIE28 -6.038460   0.140    0.021    0.258  0.003   11.9 -1.390  3.150
82    DIVIE29 -5.290200   0.496    0.040    0.808  0.000   69.7  4.140  7.250
83    DIVIZ30 -3.098010   0.738    0.000    0.447  0.257   2.72  1.600  0.392
97    MIGSZ_2 -6.099950   0.415    0.038    1.000  0.533   1.26  1.120 -0.090
98   DUREVNAZ -6.101770   0.140    0.049    0.815  0.538   1.24  0.802 -0.770
99   DUREVEST -6.033350   0.001    0.012    0.199  0.001   13.7  1.040  3.560
102  INVESEST -5.563660   0.069    0.000    0.864  0.000   15.3 -0.040  3.910
104  INTERNAZ -6.691090   0.000    0.000    0.310  0.632  0.919 -0.790  0.544
105  INTEREST -6.774530   0.000    0.001    0.691  0.187   3.35 -0.850  1.620


 ******************************** 
Problemi nella tabella modelli nuovi
 ******************************** 



 ********* 
 Non ci sono modelli nuovi 
NULL


 ******************************** 
Informazioni sui modelli:
 ******************************** 

			***modelli mensili***
 
		 FATEXP_10 
 Modello originale:
###
###-7.08789	0.236	0.118	0.982	0.888	0.238	0.422	0.244
###AO01(062010, 5.43);  LS01(012009, -4.93);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.649528 (  -12.1)          - (      -)          - (      -)  -0.740086 (  -15.6)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_11 
 Modello originale:
###
###-5.62468	0.839	0	1	0.136	3.99	-1.87	-0.71
###AO01(032020, 3.49);  AO02(042020, 4.87);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.762754 (  -16.7)          - (      -)          - (      -)  -0.771321 (  -17.2)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_13 
 Modello originale:
###
###-7.65018	0.83	0.021	0.834	0.507	1.36	-0.76	0.882
###AO01(032020, 7.01);  AO02(052020, -6.00);  AO03(062020, -3.15);  AO04(082020, -3.93);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.566866 (  -9.80)          - (      -)          - (      -)  -0.633237 (  -11.7)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_14 
 Modello originale:
###
###-6.58189	0.017	0.91	1	0.252	2.76	0.21	1.65
###AO01(032020, 4.31);  AO02(052020, -6.11);  AO03(032017, -4.04);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.743963 (  -16.3)          - (      -)          - (      -)          - (      -)
###Reg01(   0.8427E-02,  3.62);
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_15 
 Modello originale:
###
###1.4173	0.055	0.543	1	0.698	0.719	-0.63	0.564
###AO01(092009, -5.45);  AO02(012008, -4.47);  AO03(032020, 8.78);  AO04(042020, 16.66);  LS01(032009, -3.83);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)  -0.790236 (  -18.9)          - (      -)          - (      -)          - (      -)          - (      -)          - (      -)          - (      -)          - (      -)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_16 
 Modello originale:
###
###-0.12984	0.446	0.604	0.976	0.313	2.32	-1.47	0.41
###AO01(122008, 3.40);  AO02(032020, 3.31);  AO03(042020, 12.09);  AO04(082020, -3.90);  TC01(012007, -3.32);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.597006 (  -10.6)          - (      -)          - (      -)  -0.611941 (  -11.0)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_17 
 Modello originale:
###
###-7.2946	0.202	0.06	0.726	0.915	0.177	0.147	-0.39
###
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.485743 (  -7.95)          - (      -)          - (      -)  -0.619657 (  -11.3)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_18 
 Modello originale:
###
###-5.58069	0.053	0.824	0.68	0.303	2.39	1.04	1.15
###AO01(072005, 4.43);  TC01(042007, -4.94);  TC02(042020, -4.24);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.744168 (  -15.8)          - (      -)          - (      -)  -0.642878 (  -11.9)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_19 
 Modello originale:
###
###1.73514	0.837	0.007	1	0.622	0.951	0.841	-0.49
###AO01(052006, -3.04);  AO02(052020, -3.24);  AO03(062020, -2.57);  AO04(072020, -1.99);  AO05(012021, 5.52);  TC01(122008, -2.89);  TC02(012012, 3.27);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.511332 (  -8.53)          - (      -)          - (      -)  -0.841095 (  -22.3)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_20 
 Modello originale:
###
###0.406686	0.4	0.012	0.221	0.958	0.086	-0.28	-0.09
###AO01(122011, -4.00);  AO02(052020, -3.39);  AO03(062020, -2.95);  LS01(012010, 4.41);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.476880 (  -7.77)          - (      -)          - (      -)  -0.782602 (  -18.0)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_21 
 Modello originale:
###
###-5.93081	0.758	0	1	0.919	0.170	-0.4	-0.08
###LS01(012010, 6.20);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.617992 (  -11.2)          - (      -)          - (      -)  -0.592178 (  -10.5)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_22 
 Modello originale:
###
###-8.01944	0.14	0.463	0.381	0.568	1.13	-0.77	0.734
###AO01(122011, 3.98);  AO02(122005, 6.58);  AO03(052020, -3.23);  AO04(062020, -3.38);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.263355 (  -3.96)          - (      -)          - (      -)  -0.735013 (  -15.7)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_23 
 Modello originale:
###
###-7.28336	0.293	0.541	0.886	0.887	0.240	-0.48	0.099
###AO01(022012, 4.76);  AO02(032013, 4.24);  AO03(122007, -3.40);  AO04(112015, -2.82);  AO05(032020, 9.59);  AO06(042020, 17.57);  LS01(022009, -4.62);  LS02(012010, 5.09);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.490649 (  -8.07)          - (      -)          - (      -)  -0.582164 (  -10.3)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_24 
 Modello originale:
###
###-7.05023	0.89	0.311	0.259	0.527	1.28	-0.88	0.711
###AO01(092009, 4.28);  AO02(042020, 10.14);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.475412 (  -7.78)          - (      -)          - (      -)  -0.879804 (  -26.7)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_25 
 Modello originale:
###
###-7.08004	0.332	0	1	0.001	15.1	-0.58	3.84
###AO01(032010, -4.60);  AO02(032020, 4.07);  AO03(042020, 6.00);  TC01(032009, 6.53);  TC02(122008, 3.62);  LS01(122009, -3.40);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.538606 (  -9.12)          - (      -)          - (      -)  -0.625941 (  -11.4)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_26 
 Modello originale:
###
###-6.35847	0.069	0.866	1	0.693	0.733	0.649	0.559
###AO01(112005, 3.15);  AO02(122013, -3.75);  LS01(012010, 6.65);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.759795 (  -16.6)          - (      -)          - (      -)  -0.775005 (  -17.4)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_27 
 Modello originale:
###
###-7.64095	0.566	0.101	0.845	0.165	3.60	-1.44	1.23
###AO01(122008, -5.33);  AO02(032020, 3.47);  AO03(042020, 5.35);  TC01(082009, 3.13);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.512913 (  -8.60)          - (      -)          - (      -)  -0.456400 (  -7.38)
###  EE:  -0.01872 (  -3.94)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_28 
 Modello originale:
###
###-7.68867	0.251	0.276	0.535	0.362	2.03	-1.35	0.444
###AO01(062010, -7.79);  AO02(082010, 4.60);  LS01(062009, -3.23);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)  0.5661528 (   5.45)  0.4788659 (   7.65)          - (      -)          - (      -)  0.0080572 (  0.063)          - (      -)          - (      -)  -0.708567 (  -13.5)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_29 
 Modello originale:
###
###-5.95782	0.092	0.403	0.527	0.647	0.870	-0.21	0.91
###AO01(042009, -7.84);  AO02(032020, 4.12);  AO03(042020, -9.64);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.578841 (  -10.1)          - (      -)          - (      -)  -0.786850 (  -18.2)
###Reg01(   0.1013E-01,  3.31);
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_31 
 Modello originale:
###
###-7.34057	0.408	0.038	0.763	0.25	2.77	0.661	1.53
###AO01(032020, 6.21);  AO02(042020, 18.63);  AO03(082020, -7.23);  AO04(102008, 4.23);  AO05(062009, 3.74);  LS01(012009, -7.74);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.612863 (  -11.0)          - (      -)          - (      -)  -0.575712 (  -10.0)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_32 
 Modello originale:
###
###-7.24151	0.021	0.987	0.177	0.001	13.7	-2.5	2.72
###AO01(092006, 2.90);  AO02(042020, -3.24);  AO03(052020, -2.93);  AO04(082020, -2.61);  TC01(042013, -2.77);  LS01(012012, -9.14);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.510318 (  -8.49)          - (      -)          - (      -)  -0.600181 (  -10.7)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_33 
 Modello originale:
###
###-3.68395	0.242	0	0.563	0.089	4.83	-0.58	2.12
###AO01(062006, 3.17);  AO02(072008, 3.52);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.856402 (  -23.6)          - (      -)          - (      -)  -0.629484 (  -11.5)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 FATEXP_C 
 Modello originale:
###
###-0.70553	0.504	0.18	0.868	0.607	1.00	0.986	-0.17
###AO01(032020, 4.33);  LS01(012009, -4.69);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)  0.2476070 (   2.05)          - (      -)          - (      -)          - (      -)  -0.429854 (  -3.78)          - (      -)          - (      -)  -0.785192 (  -16.3)
###Reg01(   0.1114    ,  2.60);
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 C_DEFL 
 Modello originale:
###
###-7.17443	0.012	0.209	0.76	0.487	1.44	-0.19	1.19
###AO01(122007, -3.84);  AO02(032020,-12.89);  AO03(042020,-28.08);  AO04(052020,-11.36);  AO05(062020, -6.27);  LS01(112008, -5.50);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.524693 (  -9.52)          - (      -)          - (      -)  -0.586761 (  -11.2)
###Reg01(   0.8580E-02, 21.23); Reg02(   0.1081    ,  3.50);
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 DIVIZ08 
 Modello originale:
###
###-3.51249	0.084	0.001	0.219	0	25.8	3.82	3.35
###
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###0.049627 (   16.3)  -0.330273 (  -5.11)          - (      -)          - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.950000 (  -44.4)
###Reg01(   0.4532E-01,  3.96);
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 DIVID08 
 Modello originale:
###
###-5.35509	0.46	0.028	0.355	0.421	1.73	-1.26	-0.39
###AO01(042020,-14.11);  TC01(032020, -7.87);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.576586 (  -10.0)          - (      -)          - (      -)  -0.673530 (  -13.0)
###Reg01(   0.4514E-01, 11.12);
###  EE:  -0.04574 (  -2.60)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 DIVIE08 
 Modello originale:
###
###-4.05061	0.682	0.427	0.592	0.413	1.77	1.32	0.159
###AO01(082007, -3.61);  TC01(032020, -5.35);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.726935 (  -15.1)          - (      -)          - (      -)  -0.848764 (  -22.9)
###Reg01(   0.5931E-01,  6.82);
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 DIVIZ10 
 Modello originale:
###
###-6.40725	0.078	0.003	0.765	0.742	0.598	-0.36	0.684
###AO01(062010, 6.21);  AO02(122007, -5.01);  LS01(042020, -4.45);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.459654 (  -7.41)          - (      -)          - (      -)  -0.667409 (  -12.8)
###Reg01(   0.3636E-01, 16.50);
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 DIVID10 
 Modello originale:
###
###-7.00627	0.078	0.843	1	0	17.3	2.66	3.2
###LS01(042020, -3.42);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.492241 (  -8.08)          - (      -)          - (      -)  -0.727628 (  -15.2)
###Reg01(   0.3202E-01, 18.65);
###  EE:  0.021462 (   2.84)
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 DIVIE10 
 Modello originale:
###
###-6.51318	0.429	0.361	0.61	0.608	0.995	0.623	0.779
###AO01(062010, 5.21);  AO02(122007, -4.86);  AO03(022006, 4.91);  TC01(012017, -4.14);  TC02(012020, 3.22);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.453329 (  -7.29)          - (      -)          - (      -)  -0.672515 (  -13.0)
###Reg01(   0.3706E-01, 18.13);
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 DIVIZ11 
 Modello originale:
###
###-5.06116	0.686	0.894	1	0.003	11.4	-1.07	3.2
###LS01(092008, -4.90);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.726720 (  -15.0)          - (      -)          - (      -)  -0.674844 (  -12.9)
###Reg01(   0.4279E-01,  8.46);
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 DIVID11 
 Modello originale:
###
###-5.81052	0.214	0.509	0.812	0.021	7.69	1.75	2.16
###AO01(102013, 4.29);  AO02(022009, -3.39);  AO03(042011, 3.20);  AO04(042020, -6.33);  TC01(072014, -4.02);  TC02(032020, -7.86);  TC03(112020, -5.64);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.744343 (  -15.9)          - (      -)          - (      -)  -0.535952 (  -9.04)
###Reg01(   0.2875E-01,  8.83);
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 DIVIE11 
 Modello originale:
###
###-5.62659	0.121	0.399	0.436	0.482	1.46	-0.12	1.2
###AO01(042006, 4.66);
###  MEAN      (t)       PHI1       (t)       PHI2       (t)       PHI3       (t)       BPHI       (t)        TH1       (t)        TH2       (t)        TH3       (t)        BTH       (t)
###       - (      -)          - (      -)          - (      -)          - (      -)          - (      -)  -0.631897 (  -11.6)          - (      -)          - (      -)  -0.746640 (  -15.9)
###Reg01(   0.4655E-01, 12.43);
 
Modello nuovo:
				nessuna variazione da modello originale
 
		 DIVIZ13 
 Modello originale:
###
###-5.99214	0.009	0.829	0.886	0.182	3.41	0.529	1.77
###AO01(082015, -4.41);  AO02(082009, -4.67);  AO03(082005, -3.86);  AO04(042020,-19.90);  AO05(082020, 2.96);  LS01(122008, -4.34);  LS02(032020, -7.12);
